,langague_created_at,,,,,,langague_language,langague_text
,2018-09-08T23:34:39.000Z,,,,,,qme,"@NHC_Atlantic 
@NHC_Pacific 
@NHC_Surge
@GregPostel 
@EricBlake12 
@DrRickKnabb 
@TropicalTidbits 

#Hurricane #Florence #ncwx #scwx #vawx #gawx #flwx #mdwx #dewx #njwx"
,2018-09-05T21:09:48.000Z,,,,,,qme,"https://t.co/9EjexsemyG

#HurricaneFlorence"
,2018-09-05T21:07:34.000Z,,,,,,qme,"@Herzschlumpf https://t.co/5FQQWD9frh

#HurricaneFlorence"
,2018-09-05T17:26:16.000Z,,,,,,qme,"https://t.co/rn44WyImhL

#HurricaneFlorence"
,2018-09-05T17:23:23.000Z,,,,,,qme,"https://t.co/avTpQw1sRC

#HurricaneFlorence"
,2018-09-05T17:20:52.000Z,,,,,,qme,"https://t.co/IReEKet1lB

#HurricaneFlorence"
,2018-09-05T17:16:58.000Z,,,,,,qme,"https://t.co/W1X5z16Faa

#HurricaneFlorence"
,2018-09-05T15:17:54.000Z,,,,,,de,"@Herzschlumpf https://t.co/8nxIm15vSS

#HurricaneFlorence im aktuellen Satellitenbild."
